Title,Album details,Peak chart positions,,,,,,,,,,Sales,Certifications
,,"UK
[2][10]","AUS
[11]","AUT
[12]","GER
[13]","NL
[14]","NOR
[15][16]","NZ
[17]","SWE
[18][19]","SWI
[20]","US
[21]",,
*David Bowie*,"- Released: 1 June 1967[A]
   - Label: Deram
   - Formats: LP","125
[B]",—,—,—,—,—,—,—,—,—,,
*David Bowie*[C],"- Released: 14 November 1969
   - Label: Philips, Mercury
   - Formats: LP","17
[D]",21,—,—,—,—,—,—,66,"16
[D]",,- BPI: Gold[25]
*The Man Who Sold the World*,"- Released: 4 November 1970
   - Label: Mercury
   - Formats: LP","21
[E]",44,—,—,48,—,—,—,—,"105
[E]",,- BPI: Gold[25]
*Hunky Dory*,"- Released: 17 December 1971
   - Label: RCA
   - Formats: LP","3
[F]",39,52,—,—,23,30,16,32,57,,- BPI: Platinum[25]
*The Rise and Fall of Ziggy Stardust and the Spiders from Mars*,"- Released: 16 June 1972
   - Label: RCA
   - Formats: LP",5,11,34,95,61,17,20,19,21,21,"- UK: 1,500,000[28]
   - WW: 7,500,000[29][30]","- BPI: 2× Platinum[25]
   - RIAA: Gold[31]"
*Aladdin Sane*,"- Released: 13 April 1973
   - Label: RCA
   - Formats: LP",1,7,—,—,4,11,—,9,—,17,,"- BPI: Platinum[25]
   - RIAA: Gold[31]"
*Pin Ups*,"- Released: 19 October 1973
   - Label: RCA
   - Formats: LP",1,4,—,—,6,8,—,1,—,23,,"- BPI: Gold[25]
   - ARIA: Gold[32]"
*Diamond Dogs*,"- Released: 24 May 1974
   - Label: RCA
   - Formats: LP",1,3,—,40,—,8,—,4,—,5,,"- BPI: Gold[25]
   - GLF: Gold[33]
   - RIAA: Gold[31]"
*Young Americans*,"- Released: 7 March 1975
   - Label: RCA
   - Formats: LP",2,9,—,—,—,13,3,6,92,9,,"- BPI: Gold[25]
   - MC: Gold[34]
   - RIAA: Gold[31]"
*Station to Station*,"- Released: 23 January 1976
   - Label: RCA
   - Formats: LP",5,8,47,91,3,8,9,11,65,3,,"- BPI: Gold[25]
   - MC: Gold[34]
   - RIAA: Gold[31]"
*Low*,"- Released: 14 January 1977
   - Label: RCA
   - Formats: LP",2,10,16,84,6,10,12,12,40,11,,"- BPI: Gold[25]
   - MC: Gold[34]"
"*""Heroes""*","- Released: 14 October 1977
   - Label: RCA
   - Formats: LP",3,6,19,44,3,13,15,13,34,35,,"- BPI: Gold[25]
   - MC: Gold[34]"
*Lodger*,"- Released: 18 May 1979
   - Label: RCA
   - Formats: LP",4,11,13,—,5,11,3,9,—,20,,"- BPI: Gold[25]
   - NVPI: Gold[35]"
*Scary Monsters (and Super Creeps)*,"- Released: 12 September 1980
   - Label: RCA
   - Formats: LP",1,1,20,"8
[36]",3,3,1,4,75,12,"- GER: 70,000[37]","- BPI: Platinum[25]
   - ARIA: Platinum[38]
   - MC: Platinum[34]"
*Let's Dance*,"- Released: 14 April 1983
   - Label: EMI
   - Formats: LP",1,1,2,"2
[39]",1,1,1,1,17,4,"- WW: 10,700,000[40]","- BPI: Platinum[25]
   - MC: 5× Platinum[34]
   - NVPI: Platinum[35]
   - RIAA: Platinum[31]"
*Tonight*,"- Released: 1 September 1984
   - Label: EMI America
   - Formats: LP",1,4,8,"8
[41]",1,3,4,4,8,11,,"- BPI: Gold[25]
   - MC: 2× Platinum[34]
   - RIAA: Platinum[31]"
*Never Let Me Down*,"- Released: 27 April 1987
   - Label: EMI America
   - Formats: LP, CD",6,19,3,"11
[42]",9,3,14,2,18,34,,"- BPI: Gold[25]
   - MC: Platinum[34]
   - RIAA: Gold[31]"
*Black Tie White Noise*,"- Released: 5 April 1993
   - Label: Savage, Arista
   - Formats: LP, CD",1,12,18,15,8,8,8,18,18,39,,"- BPI: Gold[25]
   - MC: Gold[34]"
*The Buddha of Suburbia*,"- Released: 8 November 1993 (UK)
   - Label: Arista
   - Formats: LP, CD","87
[43]",–,–,–,–,–,–,–,–,–,,
*Outside*,"- Released: 26 September 1995
   - Label: Arista
   - Formats: LP, CD",8,55,22,33,38,15,37,13,22,21,"- UK: 200,000[44]",- BPI: Silver[25]
*Earthling*,"- Released: 3 February 1997
   - Label: Arista
   - Formats: LP, CD",6,45,15,11,19,13,15,5,20,39,,- BPI: Silver[25]
*Hours*,"- Released: 4 October 1999
   - Label: Virgin
   - Formats: LP, CD, 2×CD, DD",5,33,2,4,31,4,21,2,18,47,,- BPI: Silver[25]
*Heathen*,"- Released: 11 June 2002
   - Label: ISO/Columbia
   - Formats: LP, CD, 2×CD, SACD, DD",5,9,4,4,19,2,22,6,7,14,"- US: 180,000[45]
   - WW: 1,000,000[46]",- BPI: Gold[25]
*Reality*,"- Released: 16 September 2003
   - Label: ISO/Columbia
   - Formats: LP, CD, 2×CD, DualDisc, DD",3,13,3,3,14,2,14,5,5,29,"- US: 151,000[47]","- BPI: Gold[25]
   - RMNZ: Gold[48]"
*The Next Day*,"- Released: 8 March 2013
   - Label: ISO/Columbia
   - Formats: LP, CD, DD",1,2,2,1,1,1,1,1,1,2,"- US: 208,000[49]","- BPI: Platinum[25]
   - ARIA: Gold[50]
   - BVMI: Gold[51]
   - IFPI AUT: Gold[52]
   - IFPI SWI: Gold[53]
   - GLF: Gold[54]
   - MC: Gold[34]
   - RMNZ: Gold[55]"
*Blackstar*,"- Released: 8 January 2016
   - Label: ISO/Columbia
   - Formats: LP, CD, DD",1,1,1,1,1,1,1,1,1,1,"- US: 450,000[56]
   - UK: 410,000[57]
   - WW: 1,900,000[58]","- BPI: Platinum[25]
   - ARIA: Platinum[50]
   - BVMI: Gold[51]
   - IFPI AUT: Platinum[52]
   - IFPI SWI: Platinum[53]
   - GLF: Gold[59]
   - MC: Platinum[34]
   - RIAA: Gold[31]
   - RMNZ: Gold[60]"
"""—"" denotes releases that did not chart.",,,,,,,,,,,,,